country1,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Bouvet Island,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,French South Antarctic Territory,Gabon,Gambia,Gaza Strip,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Heard Island and McDonald Islands,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Republic of the Congo,Romania,Russia,Rwanda,Réunion,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia and the South Sandwich Islands,South Korea,Spain,Sri Lanka,Sudan,Suriname,Svalbard and Jan Mayen,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Vatican City,Venezuela,Vietnam,Wallis and Futuna,Western Sahara,Yemen,Zambia,Zimbabwe
Burma,Northwest,Northwest,Northwest,East,Northwest,West,Northwest,South,Northwest,Southwest,Northwest,Northwest,Southeast,Northwest,Northwest,North,West,West,Northwest,Northwest,Northwest,North,West,North,Northwest,West,Northwest,Southwest,Southwest,West,Southwest,Northwest,Southeast,Northwest,West,0,West,Southeast,West,North,Northwest,North,West,West,Southwest,Northeast,South,South,North,Southwest,East,North,West,Northwest,North,Northwest,Northwest,Northwest,West,Northwest,West,Northwest,North,North,West,North,West,West,Northwest,Southwest,West,Southwest,Northwest,East,Northwest,Northwest,Northwest,East,South,West,West,Northwest,Northwest,Northwest,West,Northwest,Northwest,North,Northwest,Northwest,East,North,Northwest,West,West,Northwest,North,South,North,East,Northwest,Northwest,West,Southeast,Northwest,Northwest,Northwest,Northwest,Northwest,Northwest,North,Northeast,Northwest,Northwest,Northwest,West,East,Northwest,West,Northwest,East,Northwest,Northwest,Southwest,West,West,Northwest,Northwest,Northwest,East,Southwest,Southwest,South,Southwest,West,Northwest,East,Northwest,Northwest,Southwest,Southwest,Northeast,East,Northwest,Northwest,North,Northwest,Northwest,Northwest,Southwest,Southwest,East,Northwest,Northwest,Southeast,Southeast,North,West,West,East,Southeast,Northeast,Northwest,East,Northwest,West,Northwest,East,Northwest,North,Southeast,West,Northwest,East,East,Northwest,Northwest,Northwest,West,West,Northwest,North,West,Southwest,West,Northwest,Northwest,North,Northwest,East,Northwest,West,West,West,Northwest,Southwest,West,South,Northwest,Northwest,East,West,Southwest,Southwest,Northeast,Northwest,Southwest,West,Northwest,North,Northwest,Northwest,Northwest,East,Northwest,West,Southeast,Southeast,West,East,East,Northwest,Northwest,Northwest,Northwest,North,East,Northwest,West,Northwest,West,Northwest,North,Southwest,Northwest,East,Northwest,Northwest,Southeast,East,Northwest,West,West,Southwest
Burundi,Northeast,North,Northwest,Southeast,Northwest,Southwest,West,South,West,Southwest,North,West,Southeast,North,North,Northwest,Northeast,Northeast,West,North,North,West,Northwest,Northwest,Northeast,West,North,South,South,West,East,West,East,North,Northwest,Northeast,0,East,Northwest,Northwest,West,West,Northwest,Northwest,Southwest,Northeast,East,East,West,Southeast,South,West,West,North,West,West,North,North,West,North,Northeast,West,West,West,North,West,West,Northeast,North,South,Northeast,Southwest,North,Southeast,North,Northwest,West,South,Southeast,West,West,North,North,North,West,Northwest,North,North,West,West,East,West,Northwest,West,West,West,West,Southeast,West,Northeast,North,North,Northeast,East,Northeast,North,Northwest,North,North,North,West,Northeast,Northwest,North,Northeast,Northeast,East,North,Northeast,Northeast,East,North,North,South,West,North,North,North,North,Northeast,Southeast,Southeast,East,East,Northwest,North,East,West,Northwest,Southeast,Southeast,Northwest,East,North,North,Northeast,North,West,Northwest,South,Southwest,East,Northeast,North,Southeast,Southeast,West,Northwest,Northwest,Southeast,Southeast,Northeast,North,East,North,Northeast,Northeast,East,North,West,East,Southwest,West,East,Southwest,North,Northwest,West,Northeast,West,North,Northeast,North,Southeast,Southwest,West,West,Northwest,West,Southeast,North,West,Northeast,Northwest,North,East,West,East,North,North,East,Northeast,South,Southwest,Northeast,Northwest,East,North,West,North,North,North,North,Northeast,Northeast,Southeast,East,East,Northwest,Southeast,Southeast,West,Northwest,North,Northeast,West,East,West,Northeast,North,Northeast,North,Northwest,Southwest,Northeast,Southeast,North,West,East,Southeast,Northwest,Northeast,South,South
Cambodia,Northwest,Northwest,Northwest,East,Northwest,West,North,South,Northwest,South,Northwest,North,Southeast,Northwest,Northwest,North,Northwest,Northwest,Northwest,Northwest,Northwest,Northeast,West,North,Northwest,West,Northwest,Southwest,Southwest,West,Southwest,North,Southeast,Northwest,West,Northwest,West,0,West,North,Northwest,North,West,West,South,North,South,South,North,West,East,North,West,Northwest,North,North,Northwest,Northwest,West,Northwest,West,Northwest,North,North,Northwest,Northeast,West,West,Northwest,Southwest,West,South,Northwest,East,Northwest,Northwest,Northwest,East,Southwest,West,West,Northwest,Northwest,Northwest,West,Northwest,Northwest,North,Northwest,Northwest,East,Northeast,Northwest,West,West,Northwest,North,South,North,Northeast,Northwest,North,West,Southeast,Northwest,Northwest,Northwest,Northwest,Northwest,Northwest,North,Northeast,Northwest,Northwest,Northwest,West,East,Northwest,Northwest,Northwest,North,Northwest,Northwest,Southwest,West,Northwest,Northwest,Northwest,Northwest,Northeast,Southwest,West,South,West,West,Northwest,East,Northwest,Northwest,Southwest,West,Northeast,East,Northwest,Northwest,North,Northwest,Northwest,Northwest,Southwest,Southwest,East,Northwest,Northwest,Southeast,Southeast,North,West,West,East,Southeast,Northeast,Northwest,East,Northwest,West,Northwest,East,Northwest,North,Southeast,Southwest,North,East,East,Northwest,Northwest,North,West,West,Northwest,North,West,Southwest,West,North,Northwest,North,Northwest,East,Northwest,West,West,West,Northwest,West,West,South,Northwest,Northwest,East,West,Southwest,Southwest,Northeast,Northwest,West,West,Northwest,North,Northwest,Northwest,Northwest,Northeast,Northwest,West,Northwest,Southeast,West,East,Southeast,Northwest,Northwest,Northwest,Northwest,North,East,North,West,Northwest,West,Northwest,North,Southwest,Northwest,Southeast,Northwest,Northwest,Northeast,East,Northwest,West,West,West
Cameroon,Northeast,North,Northwest,South,North,South,West,South,West,Southwest,Northeast,West,Southeast,North,Northeast,Northwest,Northeast,Northeast,West,North,North,West,West,Northwest,Northeast,West,North,South,South,West,East,West,East,North,West,East,Southeast,East,0,Northwest,West,West,East,Northeast,Southwest,Northeast,East,East,West,Southeast,Southwest,West,West,North,West,West,Northeast,North,Southeast,North,East,West,West,West,Northeast,West,South,East,North,Southeast,East,Southwest,North,Southeast,North,North,West,Southwest,Southeast,South,West,Northeast,Northeast,North,West,Northwest,North,North,West,West,Northeast,West,North,West,West,West,West,Southeast,West,Northeast,North,North,East,East,Northeast,Northeast,North,North,Northeast,North,West,Northeast,North,Northeast,Northeast,East,North,North,Northeast,Northeast,East,North,Northeast,South,West,North,North,North,North,Northeast,Southeast,Southeast,East,East,Northwest,North,Northeast,West,Northwest,Southeast,Southeast,Northwest,East,North,North,Northeast,North,West,Northwest,Southeast,South,East,Northeast,North,Southeast,South,West,North,Northwest,South,Southeast,Northeast,North,Northeast,North,Northeast,Northeast,East,Northeast,West,East,Southwest,West,East,Southwest,North,Northwest,West,Northeast,Southeast,North,Northeast,Southeast,Southeast,Southwest,West,West,Northwest,West,Southeast,North,Southwest,Northeast,West,North,East,West,East,North,North,East,East,South,Southwest,Northeast,North,East,East,West,North,North,North,Northeast,Northeast,Northeast,Southeast,East,East,West,East,Southeast,West,North,Northeast,Northeast,West,East,West,East,North,Northeast,North,Northwest,Southwest,Northeast,East,North,West,East,Southeast,Northwest,East,Southeast,Southeast
Canada,North,Northeast,Northeast,Southwest,Northeast,Northeast,Southeast,Southeast,Southeast,Southeast,North,Southeast,West,Northeast,North,Southeast,North,North,Southeast,Northeast,Northeast,Southeast,East,East,North,Southeast,Northeast,Northeast,Southeast,Southeast,North,Southeast,Northwest,Northeast,East,North,Northeast,Northwest,Northeast,0,East,Southeast,Northeast,Northeast,Southeast,Northwest,Northwest,Northwest,Southeast,Northeast,Southwest,Southeast,East,Northeast,Southeast,Southeast,Northeast,Northeast,Northeast,Northeast,Northeast,Southeast,Southeast,Southeast,Northeast,Southeast,Northeast,Northeast,Northeast,Northeast,Northeast,Southeast,Northeast,West,Northeast,Northeast,Southeast,Southwest,Northeast,Northeast,East,Northeast,North,Northeast,East,Northeast,Northeast,Northeast,Southeast,Southeast,Northwest,Southeast,Northeast,East,East,Southeast,Southeast,North,Southeast,Northwest,Northeast,Northeast,North,Northwest,North,Northeast,Northeast,Northeast,Northeast,Northeast,Southeast,Northwest,Northeast,Northeast,North,Northeast,Southwest,Northeast,Northeast,North,Northwest,Northeast,Northeast,East,East,Northeast,Northeast,Northeast,Northeast,Northwest,Northeast,Northeast,Northwest,North,East,Northeast,West,Southeast,East,Northeast,Northeast,South,West,Northeast,Northeast,North,Northeast,Southeast,Northeast,Northeast,East,West,North,Northeast,West,Southwest,Southeast,Northeast,Northeast,Southwest,West,Northwest,Northeast,Northwest,Northeast,North,North,Northwest,Northeast,Southeast,West,Southeast,Southeast,Northwest,South,Northeast,Northeast,Southeast,North,Northeast,Northeast,North,Northeast,Northeast,East,Southeast,Southeast,East,Southeast,Southwest,Northeast,East,Northeast,East,Northeast,Northeast,East,Northwest,Northeast,Northeast,West,Northeast,East,Southeast,Northwest,Northeast,North,Northeast,Southeast,North,Northeast,Northeast,Northeast,Northwest,North,Northeast,Northwest,Northwest,East,Southwest,Southwest,Southeast,Northeast,Northeast,North,Southeast,West,Southeast,Northeast,Northeast,North,Northeast,Southeast,Southeast,North,West,Northeast,Southeast,Northwest,Southwest,East,Northeast,Northeast,Northeast
Cape Verde,Northeast,Northeast,Northeast,West,Northeast,Southeast,West,South,West,Southwest,Northeast,West,Southeast,Northeast,Northeast,West,East,Northeast,West,Northeast,Northeast,West,East,Northwest,Northeast,Southwest,Northeast,Southeast,South,Southwest,East,West,Northeast,Northeast,East,Northeast,East,Northeast,East,Northwest,0,West,East,East,Southwest,Northeast,East,East,West,East,West,West,Southeast,Northeast,West,West,Northeast,Northeast,East,Northeast,East,West,West,West,East,West,East,East,Northeast,Southeast,East,South,North,West,Northeast,Northeast,West,West,Southeast,East,East,Northeast,Northeast,Northeast,East,Northeast,Northeast,North,West,West,North,West,Northeast,East,Southeast,West,West,Southeast,West,Northeast,Northeast,North,Northeast,East,Northeast,Northeast,North,North,Northeast,Northeast,West,North,Northeast,Northeast,Northeast,East,West,Northeast,Northeast,Northeast,Northeast,Northeast,Northeast,Southeast,Southeast,East,Northeast,Northeast,Northeast,Northeast,Southeast,Southeast,East,East,East,Northeast,Northwest,West,Northeast,East,East,West,North,Northeast,Northeast,Northeast,Northeast,West,Northeast,Southeast,Southeast,Northwest,Northeast,Northeast,Southwest,Southwest,West,East,East,West,Southwest,Northeast,Northeast,North,North,East,Northeast,Northeast,Northeast,West,Northeast,Southwest,Southwest,Northeast,West,Northeast,Northeast,West,East,East,Northeast,North,East,Southeast,South,West,West,Northwest,West,West,Northeast,Southeast,East,East,Northeast,East,Southeast,East,Northeast,Northeast,Northwest,East,Southeast,South,Northeast,Northeast,East,East,West,North,Northeast,Northeast,Northeast,Northeast,Northeast,East,Northeast,East,East,West,West,West,Northeast,Northeast,Northeast,West,West,West,East,Northeast,East,North,Northwest,Southwest,Northeast,West,Northeast,West,Northeast,West,Northeast,East,Southeast,Southeast
Cayman Islands,Northeast,Northeast,Northeast,West,Northeast,East,East,South,East,South,Northeast,Southeast,West,Northeast,Northeast,Northeast,Northeast,North,East,Northeast,Northeast,West,East,Northeast,North,Southeast,Northeast,East,Southeast,Southeast,East,East,Northwest,Northeast,East,North,East,North,East,North,East,0,East,East,South,North,Northwest,North,Southeast,East,Southwest,South,East,Northeast,Northeast,Southeast,Northeast,Northeast,East,Northeast,Northeast,East,East,South,Northeast,Southwest,East,Northeast,Northeast,East,East,South,Northeast,West,Northeast,Northeast,Southeast,Southwest,Southeast,East,East,Northeast,Northeast,Northeast,East,Northeast,Northeast,North,East,East,Northwest,West,Northeast,East,East,Southeast,East,Southeast,Southwest,North,Northeast,Northeast,Northeast,Northwest,Northeast,Northeast,Northeast,Northeast,Northeast,Northeast,Southeast,Northwest,Northeast,Northeast,North,East,West,Northeast,Northeast,North,North,Northeast,Northeast,Southeast,East,Northeast,Northeast,Northeast,Northeast,North,East,East,North,Northeast,East,Northeast,West,East,East,East,East,West,Northwest,Northeast,Northeast,North,Northeast,East,Northeast,East,East,West,North,Northeast,West,Southwest,Southwest,East,East,West,Southwest,Northwest,Northeast,Northwest,Northeast,Northeast,Northeast,Northwest,Northeast,South,West,Southeast,South,Northwest,Southwest,Northeast,Northeast,East,Northeast,East,Northeast,North,East,East,Southeast,East,East,Northeast,East,West,Northeast,East,Northeast,East,Northeast,East,East,North,Northeast,Northeast,West,East,Southeast,Southeast,Northwest,Northeast,Northeast,East,Southeast,North,Northeast,Northeast,Northeast,Northwest,Northeast,East,North,West,East,West,West,Southeast,Northeast,Northeast,Northeast,East,West,East,East,Northeast,Northeast,Northeast,Northwest,Southeast,Northeast,West,Northeast,Southeast,North,West,East,Northeast,East,East
Central African Republic,Northeast,North,Northwest,Southeast,North,South,West,South,West,Southwest,Northeast,West,Southeast,North,Northeast,Northwest,Northeast,Northeast,West,North,North,West,West,Northwest,Northeast,West,North,South,South,West,East,West,East,North,West,East,Southeast,East,West,Northwest,West,West,0,North,Southwest,Northeast,East,East,West,Southeast,South,West,West,North,West,West,North,North,South,North,East,West,West,West,Northeast,West,Southwest,Northeast,North,South,East,Southwest,North,Southeast,North,North,West,Southwest,Southeast,Southwest,West,Northeast,Northeast,North,West,Northwest,North,North,West,West,East,West,North,West,West,West,West,Southeast,West,Northeast,North,North,East,East,Northeast,Northeast,North,North,Northeast,North,West,Northeast,North,Northeast,Northeast,East,East,North,Northeast,Northeast,East,North,Northeast,South,West,North,North,North,North,East,Southeast,Southeast,East,East,Northwest,North,Northeast,West,Northwest,Southeast,Southeast,Northwest,East,North,North,Northeast,North,West,Northwest,Southeast,South,East,Northeast,North,Southeast,Southeast,West,Northwest,West,Southeast,Southeast,Northeast,North,Northeast,North,Northeast,Northeast,East,Northeast,West,East,Southwest,West,East,Southwest,North,Northwest,West,Northeast,Southwest,North,Northeast,Southeast,Southeast,Southwest,West,West,Northwest,West,Southeast,North,Southwest,Northeast,West,North,East,West,East,North,North,East,East,South,Southwest,Northeast,Northwest,East,Northeast,West,North,North,North,Northeast,Northeast,Northeast,Southeast,East,East,West,East,Southeast,West,North,North,Northeast,West,East,West,Southeast,North,Northeast,North,Northwest,Southwest,Northeast,East,North,West,East,Southeast,Northwest,East,South,South
Chad,Northeast,North,Northwest,East,Northwest,South,West,South,West,Southwest,Northeast,West,East,North,Northeast,Northwest,Northeast,East,West,North,North,West,West,Northwest,Northeast,West,North,South,South,West,East,West,East,North,West,East,Southeast,East,Southwest,Northwest,West,West,South,0,Southwest,Northeast,East,East,West,Southeast,South,West,West,North,West,West,Northeast,North,South,North,East,West,West,West,Northeast,West,Southwest,East,North,South,East,Southwest,North,East,North,North,West,West,Southeast,Southwest,West,Northeast,Northeast,North,West,Northwest,North,North,West,West,Northeast,West,North,West,West,West,West,Southeast,West,Northeast,North,North,East,East,Northeast,Northeast,Northwest,North,Northeast,North,West,Northeast,North,Northeast,Northeast,Southeast,Northeast,North,Northeast,Northeast,East,North,Northeast,South,West,North,North,North,North,Northeast,Southeast,Southeast,East,East,West,North,Northeast,West,West,Southeast,Southeast,Northwest,East,North,North,Northeast,North,West,Northwest,Southeast,South,East,Northeast,North,East,Southeast,West,West,Southwest,Southeast,Southeast,Northeast,North,Northeast,North,East,Northeast,East,Northeast,West,East,Southwest,West,East,West,North,Northwest,West,Northeast,South,North,Northeast,Southeast,Southeast,Southwest,West,West,Northwest,West,East,North,Southwest,Northeast,West,North,Southeast,West,East,North,North,East,East,South,Southwest,Northeast,Northwest,East,East,West,North,North,North,Northeast,Northeast,Northeast,Southeast,East,East,West,Northeast,Southeast,West,Northwest,Northeast,Northeast,West,East,West,Southeast,North,East,North,Northwest,Southwest,Northeast,East,North,West,East,East,West,East,South,South
Chile,East,Northeast,Northeast,West,Northeast,East,North,South,North,Southeast,Northeast,North,Southwest,Northeast,Northeast,North,East,Southeast,North,Northeast,Northeast,North,East,North,Southeast,North,Northeast,East,Southeast,Northeast,Southeast,North,South,Northeast,East,Southeast,East,South,East,North,Northeast,North,East,East,0,East,South,South,North,Southeast,West,North,East,Northeast,North,North,Northeast,Northeast,East,Northeast,East,North,North,North,East,North,East,East,Northeast,Southeast,East,Southeast,Northeast,Southwest,Northeast,Northeast,Northeast,West,Southeast,East,Northeast,East,Northeast,Northeast,East,Northeast,Northeast,North,North,North,Southwest,North,Northeast,Northeast,Northeast,North,North,South,North,South,Northeast,North,East,South,East,East,Northeast,Northeast,East,Northeast,North,West,Northeast,East,Northeast,East,West,Northeast,East,East,South,Northeast,East,Southeast,East,Northeast,Northeast,Northeast,Northeast,South,Southeast,East,South,Southeast,Northeast,Northeast,West,North,Northeast,Southeast,Southeast,Northwest,Southwest,Northeast,Northeast,North,Northeast,North,Northeast,Southeast,East,West,East,Northeast,Southwest,Southwest,North,East,East,West,Southwest,Northwest,Northeast,West,Northeast,East,East,Southwest,East,North,Southwest,Northeast,North,Southwest,West,Northeast,Northeast,North,East,East,Northeast,North,East,Southeast,East,North,North,North,North,West,Northeast,East,East,Northeast,Northeast,Southeast,Northeast,South,Northeast,Northeast,Southwest,East,Southeast,Southeast,West,Northeast,Southeast,East,Northeast,North,Northeast,Northeast,East,Southwest,East,East,South,Southwest,East,West,Southwest,North,Northeast,Northeast,East,North,West,North,East,Northeast,East,Northeast,North,East,Northeast,Southwest,Northeast,North,South,West,Northeast,East,East,East
China,West,Northwest,Northwest,East,Northwest,West,North,South,North,West,Northwest,North,Southeast,Northwest,Northwest,North,West,Southwest,North,Northwest,Northwest,North,West,North,Southwest,Northwest,Northwest,Southwest,Southwest,Northwest,Southwest,North,South,Northwest,West,Southwest,West,South,West,North,Northwest,North,West,West,West,0,South,South,North,Southwest,East,North,West,Northwest,North,North,West,Northwest,West,Northwest,West,North,North,North,West,North,West,West,Northwest,Southwest,West,Southwest,Northwest,East,Northwest,Northwest,Northwest,East,South,West,Northwest,West,Northwest,Northwest,West,Northwest,Northwest,North,North,North,East,North,Northwest,Northwest,Northwest,Northwest,North,South,North,Southeast,Northwest,North,Southwest,South,West,West,Northwest,Northwest,West,Northwest,North,East,Northwest,West,Northwest,West,East,Northwest,West,West,South,Northwest,West,Southwest,West,West,Northwest,Northwest,Northwest,Southeast,Southwest,Southwest,South,Southwest,Northwest,Northwest,East,North,Northwest,Southwest,Southwest,Northeast,East,Northwest,Northwest,North,Northwest,North,Northwest,Southwest,West,East,West,Northwest,Southeast,Southeast,North,West,West,East,Southeast,East,Northwest,East,Northwest,West,West,Southeast,West,North,Southeast,Northwest,North,Southeast,East,Northwest,Northwest,North,West,West,Northwest,North,West,Southwest,West,North,North,North,North,East,Northwest,West,West,Northwest,Northwest,Southwest,Northwest,South,Northwest,Northwest,Southeast,West,Southwest,Southwest,East,Northwest,Southwest,West,Northwest,North,Northwest,Northwest,West,Southeast,West,West,South,Southeast,West,East,Southeast,North,Northwest,Northwest,West,North,East,North,West,Northwest,West,Northwest,North,West,West,Southeast,Northwest,North,South,East,Northwest,West,West,Southwest
Christmas Island,Northwest,Northwest,Northwest,East,Northwest,West,Northwest,South,Northwest,South,Northwest,Northwest,Southeast,Northwest,Northwest,North,Northwest,Northwest,West,Northwest,Northwest,Northeast,West,North,North,South,Northwest,West,Southwest,Southwest,West,Northwest,Northeast,Northwest,West,North,West,North,West,North,West,Northeast,West,West,South,North,0,West,South,West,East,East,West,Northwest,North,West,Northwest,Northwest,West,Northwest,West,Northwest,Northwest,South,Northwest,East,West,West,Northwest,Southwest,West,South,Northwest,East,Northwest,Northwest,West,East,Southwest,West,West,Northwest,Northwest,Northwest,West,Northwest,Northwest,North,West,Northwest,Northeast,East,Northwest,West,West,West,North,Southwest,Northeast,North,Northwest,North,Northwest,Northeast,Northwest,Northwest,Northwest,Northwest,Northwest,Northwest,North,Northeast,Northwest,Northwest,Northwest,West,East,Northwest,Northwest,Northwest,North,Northwest,Northwest,Southwest,West,Northwest,Northwest,Northwest,Northwest,North,West,West,North,West,West,Northwest,East,West,West,West,West,Northeast,East,Northwest,Northwest,North,Northwest,Northwest,Northwest,West,West,East,Northwest,Northwest,East,Southeast,East,West,West,East,Southeast,North,Northwest,Northeast,Northwest,Northwest,Northwest,Northeast,Northwest,East,East,Southwest,South,Northeast,Southeast,Northwest,Northwest,Northwest,Northwest,West,Northwest,North,West,West,Southwest,Northwest,West,North,West,East,Northwest,West,Northwest,West,Northwest,West,West,North,Northwest,Northwest,East,West,Southwest,South,Northeast,Northwest,Northwest,West,West,North,Northwest,Northwest,Northwest,Northeast,Northwest,West,North,East,West,East,East,West,Northwest,Northwest,Northwest,North,East,Northwest,West,Northwest,Northwest,Northwest,Northeast,South,Northwest,East,Northwest,Southwest,North,East,West,Northwest,West,West
Cocos (Keeling) Islands,Northwest,Northwest,Northwest,East,Northwest,West,West,South,West,South,Northwest,West,Southeast,Northwest,Northwest,North,Northwest,North,West,Northwest,Northwest,Northeast,West,Northwest,North,Southwest,Northwest,West,Southwest,Southwest,West,West,Northeast,Northwest,West,North,West,North,West,North,West,North,West,West,South,North,East,0,Southwest,West,Southeast,South,West,Northwest,Northwest,West,Northwest,Northwest,West,Northwest,West,West,Northwest,South,Northwest,East,West,Northwest,Northwest,Southwest,West,South,Northwest,East,Northwest,Northwest,West,Southeast,Southwest,West,West,Northwest,Northwest,Northwest,West,Northwest,Northwest,North,West,West,Northeast,Northeast,Northwest,West,West,West,Northwest,South,Northeast,Northeast,Northwest,Northwest,Northwest,Northeast,Northwest,Northwest,Northwest,Northwest,Northwest,Northwest,Northwest,Northeast,Northwest,Northwest,North,West,East,Northwest,Northwest,North,North,Northwest,Northwest,Southwest,West,Northwest,Northwest,Northwest,Northwest,Northeast,West,West,North,Northwest,West,Northwest,East,West,West,West,West,Northeast,East,Northwest,Northwest,North,Northwest,West,Northwest,West,West,East,North,Northwest,East,Southeast,East,West,West,East,Southeast,Northeast,Northwest,Northeast,Northwest,Northwest,Northwest,Northeast,Northwest,Southwest,East,Southwest,South,Northeast,Southeast,Northwest,Northwest,Northwest,Northwest,West,Northwest,North,West,West,Southwest,West,West,Northwest,West,East,Northwest,West,Northwest,West,Northwest,West,West,Northeast,Northwest,Northwest,East,West,Southwest,Southwest,Northeast,Northwest,Northwest,West,West,North,Northwest,Northwest,Northwest,Northeast,Northwest,West,North,East,West,East,East,West,Northwest,Northwest,Northwest,Northwest,East,West,West,Northwest,Northwest,Northwest,North,Southwest,Northwest,East,Northwest,West,Northeast,East,West,Northwest,West,West
Colombia,Northeast,Northeast,Northeast,West,Northeast,East,Northeast,South,Northeast,South,Northeast,Northeast,Southwest,Northeast,Northeast,North,Northeast,Northeast,Northeast,Northeast,Northeast,Northwest,East,North,Northeast,Southeast,Northeast,East,Southeast,Southeast,East,Northeast,Northwest,Northeast,East,North,East,North,East,North,East,North,East,East,South,North,South,Southeast,0,East,West,Northwest,East,Northeast,North,Northeast,Northeast,Northeast,East,Northeast,East,Northeast,North,Southwest,Northeast,Northwest,East,East,Northeast,Southeast,East,South,Northeast,West,Northeast,Northeast,East,West,Southeast,East,East,Northeast,Northeast,Northeast,East,Northeast,Northeast,North,Northeast,Northeast,Northwest,Northwest,Northeast,East,East,East,North,Southeast,Northwest,North,Northeast,North,Northeast,Northwest,Northeast,Northeast,Northeast,Northeast,Northeast,Northeast,North,Northwest,Northeast,Northeast,Northeast,East,West,Northeast,Northeast,Northeast,North,Northeast,Northeast,Southeast,East,Northeast,Northeast,Northeast,Northeast,North,East,East,Northeast,East,East,Northeast,West,Northeast,East,Southeast,East,Northwest,West,Northeast,Northeast,North,Northeast,Northeast,Northeast,East,Southeast,West,Northeast,Northeast,West,Southwest,Northwest,East,East,West,Southwest,North,Northeast,Northwest,Northeast,Northeast,Northeast,Northwest,Northeast,Northwest,West,Southeast,South,Northwest,Southwest,Northeast,Northeast,Northeast,Northeast,East,Northeast,North,East,Southeast,Southeast,Northeast,Northeast,North,Northeast,West,Northeast,East,Northeast,East,Northeast,East,East,North,Northeast,Northeast,West,East,Southeast,Southeast,Northwest,Northeast,Northeast,East,East,North,Northeast,Northeast,Northeast,Northwest,Northeast,East,North,West,East,West,West,Northeast,Northeast,Northeast,Northeast,North,West,Northeast,East,Northeast,Northeast,Northeast,Northwest,Southeast,Northeast,West,Northeast,East,North,West,Northeast,East,East,East
